1;2;014;126;0;;20-07-24;13-01-46;3;;820;;;;820;;;;102;12:22:34;114;3;;
1;2;014;127;0;;21-07-24;14-01-46;7;;3000;;;;3000;;;;102;09:10:37;114;3;;
1;2;014;128;0;;22-07-24;15-01-46;4;;1270;;;;1270;;;;102;10:15:06;114;3;;
1;2;014;129;0;;22-07-24;15-01-46;3;;996;;;;996;;;;102;10:44:21;114;3;;
1;2;014;130;0;;22-07-24;15-01-46;4;;1540;;;;1540;;;;102;11:14:44;114;3;;
1;2;014;131;0;;24-07-24;17-01-46;3;;983;;;;983;;;;102;11:50:11;114;3;;
1;2;014;132;0;;27-07-24;20-01-46;7;;1378;;;;1378;;;;102;09:23:53;114;3;;
1;2;014;133;0;;28-07-24;21-01-46;7;;4430;;;;4430;;;;102;06:07:26;114;3;;
1;2;014;134;0;;28-07-24;21-01-46;3;;1370;;;;1370;;;;102;07:17:47;114;3;;
1;2;014;135;0;;29-07-24;22-01-46;4;;1400;;;;1400;;;;102;06:45:03;114;3;;
1;2;014;136;0;;31-07-24;24-01-46;3;;8248.2;;;;8248.2;;;;102;12:21:53;114;3;;
1;2;014;137;0;;31-07-24;24-01-46;3;;420;;;;420;;;;102;01:20:51;114;3;;
1;2;014;138;0;;31-07-24;24-01-46;4;;5312.2;;;;5312.2;;;;102;04:59:23;114;3;;
